source_row,url,headline,clean_headline,label,fold,score_nbc,predicted_label,correct,error_direction,margin_from_threshold,confidence_margin,headline_length,word_count,has_quote,has_question,has_digit,topic_politics,topic_crime,topic_world,topic_health,topic_business,topic_culture,topic
153,https://www.foxnews.com/tech/how-score-cheap-stuff-keep-resell,How to score cheap stuff (to keep or resell),how to score cheap stuff (to keep or resell),FoxNews,3,1.7564736475665543,NBC,False,FoxNews->NBC,1.79985261260616,1.79985261260616,44,9,False,False,False,False,False,False,False,False,False,other
3253,https://www.nbcnews.com/politics/trump-impeachment-inquiry/closing-argument-democrats-say-not-removing-trump-would-render-him-n1128766,"Schiff's powerful closing speech: 'Is there one among you who will say, Enough!'?","schiff's powerful closing speech: 'is there one among you who will say, enough!'?",NBC,1,-1.673588781418965,FoxNews,False,NBC->FoxNews,-1.6302098163793592,1.6302098163793592,81,14,True,True,False,False,False,False,False,False,False,other
3803,https://www.nbcnews.com/politics/2024-election/trump-says-presidential-civilian-award-better-top-military-honor-whose-rcna166855,Trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,NBC,1,-1.60756050384611,FoxNews,False,NBC->FoxNews,-1.5641815388065043,1.5641815388065043,122,19,True,False,False,True,True,True,False,False,False,politics
1967,https://www.foxnews.com/media/pence-declines-to-endorse-trump-wont-back-biden,"Pence declines to endorse Trump, won't back Biden","pence declines to endorse trump, won't back biden",FoxNews,2,1.2880323553045543,NBC,False,FoxNews->NBC,1.33141132034416,1.33141132034416,49,9,True,False,False,True,False,False,False,False,False,politics
2423,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna172165/rcrd57088?canonicalCard=true,Chuck Schumer appeals to Harris to attend Al Smith dinner at request of prominent Cardinal,chuck schumer appeals to harris to attend al smith dinner at request of prominent cardinal,NBC,1,-1.3403811445123865,FoxNews,False,NBC->FoxNews,-1.2970021794727808,1.2970021794727808,90,15,False,False,False,False,False,False,False,False,False,other
3468,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-tent-city-rafah-bombardment-sheets-buckets-rcna129543,'God help us': Displaced Gazans who fled bombardment now face health crisis in a makeshift tent city,'god help us': displaced gazans who fled bombardment now face health crisis in a makeshift tent city,NBC,5,-1.3006019246520621,FoxNews,False,NBC->FoxNews,-1.2572229596124564,1.2572229596124564,100,17,True,False,False,False,False,False,True,False,False,health
1739,https://www.foxnews.com/politics/democratic-heavyweights-speak-partys-convention-preparing-large-palestinian-protests,Democratic heavyweights to speak at party's convention; preparing for large Palestinian protests,democratic heavyweights to speak at party's convention; preparing for large palestinian protests,FoxNews,5,1.1510668840687068,NBC,False,FoxNews->NBC,1.1944458491083125,1.1944458491083125,96,13,True,False,False,False,False,False,False,False,False,other
3372,https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162868,"2024 Olympics: Simone Biles takes gold in vault, Sha'Carri Richardson gets silver in 100 meter","2024 olympics: simone biles takes gold in vault, sha'carri richardson gets silver in 100 meter",NBC,4,-1.2259294560013216,FoxNews,False,NBC->FoxNews,-1.182550490961716,1.182550490961716,94,16,True,False,True,False,False,False,False,False,False,other
1464,https://www.foxnews.com/opinion/parents-kidnapped-hamas-they-footnote-gaza-war-they-essence,"My parents were kidnapped by Hamas. They are not a footnote to Gaza war, they are its essence","my parents were kidnapped by hamas. they are not a footnote to gaza war, they are its essence",FoxNews,2,1.0598628958811294,NBC,False,FoxNews->NBC,1.103241860920735,1.103241860920735,93,18,False,False,False,False,False,True,False,False,False,world
604,https://www.foxnews.com/health/meet-hurricane-milton-babies-born-florida-hospitals-during-storm,Meet the Hurricane Milton babies born at Florida hospitals during the storm,meet the hurricane milton babies born at florida hospitals during the storm,FoxNews,4,1.0597854942019929,NBC,False,FoxNews->NBC,1.1031644592415986,1.1031644592415986,75,12,False,False,False,False,False,False,False,False,False,other
